Loaded 2 labels
Loaded 260 images
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
Epoch:1, Time:1233ms, TrainError:0.6991876, TrainErrorChange:0.6991876, TrainAccuracy: 0.81153846
Epoch:2, Time:1139ms, TrainError:0.67136353, TrainErrorChange:-0.027824044, TrainAccuracy: 0.82307696
Epoch:3, Time:1136ms, TrainError:0.65833, TrainErrorChange:-0.013033509, TrainAccuracy: 0.82307696
Epoch:4, Time:1137ms, TrainError:0.6403953, TrainErrorChange:-0.01793474, TrainAccuracy: 0.8384615
Epoch:5, Time:1136ms, TrainError:0.62058395, TrainErrorChange:-0.019811332, TrainAccuracy: 0.84807694
Epoch:6, Time:1143ms, TrainError:0.60037434, TrainErrorChange:-0.02020961, TrainAccuracy: 0.8519231
Epoch:7, Time:1108ms, TrainError:0.5790446, TrainErrorChange:-0.02132976, TrainAccuracy: 0.86153847
Epoch:8, Time:1107ms, TrainError:0.55646324, TrainErrorChange:-0.022581339, TrainAccuracy: 0.8903846
Epoch:9, Time:1107ms, TrainError:0.5335102, TrainErrorChange:-0.022953033, TrainAccuracy: 0.8980769
Epoch:10, Time:1108ms, TrainError:0.50971395, TrainErrorChange:-0.02379626, TrainAccuracy: 0.9115385
Epoch:11, Time:1107ms, TrainError:0.49064615, TrainErrorChange:-0.019067794, TrainAccuracy: 0.88076925
Epoch:12, Time:1108ms, TrainError:0.4587938, TrainErrorChange:-0.031852365, TrainAccuracy: 0.88846153
Epoch:13, Time:1107ms, TrainError:0.43270305, TrainErrorChange:-0.026090741, TrainAccuracy: 0.83269227
Epoch:14, Time:1107ms, TrainError:0.39779207, TrainErrorChange:-0.034910977, TrainAccuracy: 0.83076924
Epoch:15, Time:1107ms, TrainError:0.36678743, TrainErrorChange:-0.031004637, TrainAccuracy: 0.8865385
Epoch:16, Time:1113ms, TrainError:0.3401193, TrainErrorChange:-0.026668131, TrainAccuracy: 0.875
Epoch:17, Time:1108ms, TrainError:0.3141298, TrainErrorChange:-0.025989503, TrainAccuracy: 0.86923075
Epoch:18, Time:1107ms, TrainError:0.30610016, TrainErrorChange:-0.00802964, TrainAccuracy: 0.87884617
Epoch:19, Time:1105ms, TrainError:0.27884376, TrainErrorChange:-0.0272564, TrainAccuracy: 0.9
Epoch:20, Time:1109ms, TrainError:0.25536624, TrainErrorChange:-0.023477525, TrainAccuracy: 0.9
Epoch:21, Time:1104ms, TrainError:0.23552525, TrainErrorChange:-0.019840986, TrainAccuracy: 0.86923075
Epoch:22, Time:1096ms, TrainError:0.21369423, TrainErrorChange:-0.02183102, TrainAccuracy: 0.91346157
Epoch:23, Time:1097ms, TrainError:0.21675624, TrainErrorChange:0.0030620098, TrainAccuracy: 0.9230769
Epoch:24, Time:1096ms, TrainError:0.21890773, TrainErrorChange:0.0021514893, TrainAccuracy: 0.9115385
Epoch:25, Time:1096ms, TrainError:0.2236741, TrainErrorChange:0.004766375, TrainAccuracy: 0.9326923
Epoch:26, Time:1096ms, TrainError:0.2577493, TrainErrorChange:0.034075186, TrainAccuracy: 0.9076923
Epoch:27, Time:1097ms, TrainError:0.22570257, TrainErrorChange:-0.03204672, TrainAccuracy: 0.91923076
Epoch:28, Time:1097ms, TrainError:0.21708888, TrainErrorChange:-0.008613691, TrainAccuracy: 0.95
Epoch:29, Time:1094ms, TrainError:0.19014981, TrainErrorChange:-0.026939064, TrainAccuracy: 0.8923077
Epoch:30, Time:1095ms, TrainError:0.16754296, TrainErrorChange:-0.02260685, TrainAccuracy: 0.9346154
Epoch:31, Time:1097ms, TrainError:0.16132921, TrainErrorChange:-0.0062137544, TrainAccuracy: 0.91923076
Epoch:32, Time:1095ms, TrainError:0.150972, TrainErrorChange:-0.010357216, TrainAccuracy: 0.91538465
Epoch:33, Time:1094ms, TrainError:0.23998067, TrainErrorChange:0.089008674, TrainAccuracy: 0.92115384
Epoch:34, Time:1095ms, TrainError:0.15792437, TrainErrorChange:-0.0820563, TrainAccuracy: 0.91730773
Epoch:35, Time:1100ms, TrainError:0.17008942, TrainErrorChange:0.012165055, TrainAccuracy: 0.91923076
Epoch:36, Time:1113ms, TrainError:0.14285518, TrainErrorChange:-0.027234241, TrainAccuracy: 0.91346157
Epoch:37, Time:1099ms, TrainError:0.25358582, TrainErrorChange:0.11073063, TrainAccuracy: 0.86153847
Epoch:38, Time:1094ms, TrainError:0.24610992, TrainErrorChange:-0.0074758977, TrainAccuracy: 0.91730773
Epoch:39, Time:1093ms, TrainError:0.25379017, TrainErrorChange:0.007680252, TrainAccuracy: 0.90384614
Epoch:40, Time:1094ms, TrainError:0.14507744, TrainErrorChange:-0.10871273, TrainAccuracy: 0.9115385
